asset,trade_count,buy_notional,sell_notional,fees
创业板50ETF,6,2974567.4656714913,2623632.4041396827,2799.0999349055874
纳斯达克100ETF,3,1737846.960557605,1208486.6657580303,1473.1668131578176
黄金ETF,6,3089942.155247257,2977543.52116491,3033.7428382060834
