month,strategy_return,equal_weight_return,csi300_return,excess_vs_equal
2024-01,0.04410604615047897,-0.038467043373717646,-0.0659542978355635,0.08257308952419662
2024-02,0.028481012658228,0.065967793074452,0.0933244769179673,-0.037486780416224
2024-03,0.028461538461538316,0.018055386613488267,0.00698663426488455,0.01040615184805005
2024-04,-0.028421839940165117,0.01665570044998055,0.02171945701357525,-0.045077540390145665
2024-05,0.041570438799075626,0.007260884333688766,-0.004723944493651988,0.03430955446538686
2024-06,0.09016999260901803,-0.011677072457494164,-0.028181548501928444,0.1018470650665122
2024-07,-0.031186440677966054,-0.004742150839690429,0.0064102564102561654,-0.026444289838275625
2024-08,0.026673991245098616,-0.02370799588224759,-0.03518350015165306,0.050381987127346206
2024-09,0.033502354219485886,0.15568869279244035,0.26438226972650103,-0.12218633857295447
2024-10,-0.20742159979481056,-0.01273227392847065,-0.06514172053704625,-0.1946893258663399
2024-11,0.029015544041450347,0.010493163892180357,0.00797872340425565,0.01852238014926999
2024-12,-0.032225579053373976,0.011322399113044446,0.005540897097625175,-0.04354797816641842
2025-01,-0.037460978147762725,-0.011870233631286808,-0.030175806874835898,-0.025590744516475916
2025-02,0.035675675675676644,0.005149574253374478,0.023538961038960693,0.030526101422302165
2025-03,-0.03235908141962396,0.002306442946845788,-0.002643404705260921,-0.03466552436646975
2025-04,-0.07874865156418565,-0.0061657636279046635,-0.03127484760137755,-0.07258288793628098
2025-05,-0.02064029583941751,0.021521311006121646,0.025444596443228384,-0.04216160684553916
2025-06,-0.007463699280770397,0.03030126118890375,0.02961579509071499,-0.03776496046967415
2025-07,0.004922067268252395,0.03642909677605721,0.04483026690852543,-0.03150702950780482
2025-08,0.01850340136054407,0.07554250079378977,0.11061507936507842,-0.0570390994332457
2025-09,0.14564800202449457,0.06256708782655629,0.03126395712371566,0.08308091419793828
2025-10,-0.01561483409238773,0.025505847823495964,0.0032481593763529215,-0.041120681915883694
2025-11,-0.04296100462656971,-0.014853253152571244,-0.026116986833584543,-0.028107751473998466
2025-12,0.05110497237569178,0.021076371492523283,0.026152482269504063,0.0300286008831685
2026-01,0.03613666228646495,0.06244989748327989,0.017494600431966045,-0.026313235196814944
2026-02,-0.01838934686112892,-0.00045928828074437433,0.002971768202080227,-0.017930058580384545
2026-03,-0.15757921358045135,-0.06349505546717826,-0.055449735449735416,-0.09408415811327309
2026-04,-0.0021651716671821086,0.0803964691544703,0.0808872955411164,-0.0825616408216524
2026-05,0.0946536892802583,0.03885958814680124,0.020522388059701413,0.055794101133457064
2026-06,0.0625954198473282,-0.0049267032130929644,0.019500304692261494,0.06752212306042116
2026-07,-0.24185823754789304,-0.0814620581474712,-0.0729228930065754,-0.16039617940042183
2026-08,0.03807378444082521,0.04185992282710149,0.006877283473028406,-0.003786138386276283
2026-09,-0.0013495276653170407,-0.02725158423421359,-0.03265741728922078,0.025902056568896548
