case_type,window,top_n,cost_bps,cash_rule,total_return,annual_return,annual_volatility,sharpe_ratio_rf0,return_vol_ratio,max_drawdown,daily_win_rate,trade_count,rebalance_count,total_fees,total_turnover
strategy,20,1.0,5.0,False,-0.1188922108079592,-0.02529465422498578,0.2539519833757338,0.027032752390215783,-0.0996040821920306,-0.5670102036585368,0.4923694779116466,99,62,37065.48447356514,99.1205542328833
strategy,20,1.0,10.0,False,-0.16144488190669948,-0.03501166921751553,0.253887414880459,-0.012482820934468205,-0.13790234239850174,-0.5810656841955241,0.4891566265060241,99,62,72322.32801901731,99.0710434665332
strategy,20,1.0,20.0,False,-0.24048385268340522,-0.05415594243301036,0.2538716958890696,-0.0914150466084968,-0.2133201270955154,-0.6078227172600035,0.485140562248996,99,62,137768.49851394878,98.9721701696604
strategy,20,1.0,5.0,True,-0.1188922108079592,-0.02529465422498578,0.2539519833757338,0.027032752390215783,-0.0996040821920306,-0.5670102036585368,0.4923694779116466,99,62,37065.48447356514,99.1205542328833
strategy,20,1.0,10.0,True,-0.16144488190669948,-0.03501166921751553,0.253887414880459,-0.012482820934468205,-0.13790234239850174,-0.5810656841955241,0.4891566265060241,99,62,72322.32801901731,99.0710434665332
strategy,20,1.0,20.0,True,-0.24048385268340522,-0.05415594243301036,0.2538716958890696,-0.0914150466084968,-0.2133201270955154,-0.6078227172600035,0.485140562248996,99,62,137768.49851394878,98.9721701696604
strategy,20,2.0,5.0,False,0.370987426010974,0.0659501510601086,0.1991258657038904,0.4208471122818269,0.33119831432737923,-0.3001579646866521,0.5108433734939759,206,62,41893.32267134213,83.32632281109576
strategy,20,2.0,10.0,False,0.31511357008920804,0.057010521426223315,0.19911857798017263,0.37855050329507833,0.2863144263309282,-0.319159170083146,0.5108433734939759,206,62,81962.1978472237,83.2988023988912
strategy,20,2.0,20.0,False,0.21008150941855375,0.03935157443236936,0.19920259190587827,0.29388619729575965,0.19754549404137617,-0.35563424436389446,0.5012048192771085,206,62,156935.7550829777,83.24384397092581
strategy,20,2.0,5.0,True,0.370987426010974,0.0659501510601086,0.1991258657038904,0.4208471122818269,0.33119831432737923,-0.3001579646866521,0.5108433734939759,206,62,41893.32267134213,83.32632281109576
strategy,20,2.0,10.0,True,0.31511357008920804,0.057010521426223315,0.19911857798017263,0.37855050329507833,0.2863144263309282,-0.319159170083146,0.5108433734939759,206,62,81962.1978472237,83.2988023988912
strategy,20,2.0,20.0,True,0.21008150941855375,0.03935157443236936,0.19920259190587827,0.29388619729575965,0.19754549404137617,-0.35563424436389446,0.5012048192771085,206,62,156935.7550829777,83.24384397092581
strategy,20,3.0,5.0,False,0.2786696035650702,0.05101500722223262,0.16721213838610396,0.3817650779428542,0.30509153052295507,-0.2612722780772192,0.521285140562249,283,62,35175.27255447023,66.0390325903395
strategy,20,3.0,10.0,False,0.23717424853526747,0.04402019454458639,0.1671944494795006,0.34184421980517665,0.26328741583005494,-0.2732643667958027,0.5188755020080321,283,62,69152.718559672,66.02439499443626
strategy,20,3.0,20.0,False,0.15815415062670501,0.030165324754700906,0.16723485855797504,0.2619107453149852,0.18037701598105244,-0.2966766483945338,0.5156626506024097,283,62,133673.33010075497,65.99545896693515
strategy,20,3.0,5.0,True,0.2786696035650702,0.05101500722223262,0.16721213838610396,0.3817650779428542,0.30509153052295507,-0.2612722780772192,0.521285140562249,283,62,35175.27255447023,66.0390325903395
strategy,20,3.0,10.0,True,0.23717424853526747,0.04402019454458639,0.1671944494795006,0.34184421980517665,0.26328741583005494,-0.2732643667958027,0.5188755020080321,283,62,69152.718559672,66.02439499443626
strategy,20,3.0,20.0,True,0.15815415062670501,0.030165324754700906,0.16723485855797504,0.2619107453149852,0.18037701598105244,-0.2966766483945338,0.5156626506024097,283,62,133673.33010075497,65.99545896693515
strategy,60,1.0,5.0,False,-0.176669363999149,-0.03858383566408641,0.2661134260878011,-0.013306404168475075,-0.14499018794848823,-0.5118671479859155,0.5108433734939759,69,62,24088.946245433362,69.16158476978985
strategy,60,1.0,10.0,False,-0.20458959058151627,-0.04527407673141992,0.2660034068112422,-0.03966835553262375,-0.1702011161215943,-0.523919197986852,0.5084337349397591,69,62,47349.917165030536,69.1270385236511
strategy,60,1.0,20.0,False,-0.2576212492308557,-0.05851509606060734,0.26586010168266905,-0.09235209288570233,-0.22009732069707486,-0.5471379855192398,0.5076305220883535,69,62,91504.03435372749,69.05804946324825
strategy,60,1.0,5.0,True,-0.176669363999149,-0.03858383566408641,0.2661134260878011,-0.013306404168475075,-0.14499018794848823,-0.5118671479859155,0.5108433734939759,69,62,24088.946245433362,69.16158476978985
strategy,60,1.0,10.0,True,-0.20458959058151627,-0.04527407673141992,0.2660034068112422,-0.03966835553262375,-0.1702011161215943,-0.523919197986852,0.5084337349397591,69,62,47349.917165030536,69.1270385236511
strategy,60,1.0,20.0,True,-0.2576212492308557,-0.05851509606060734,0.26586010168266905,-0.09235209288570233,-0.22009732069707486,-0.5471379855192398,0.5076305220883535,69,62,91504.03435372749,69.05804946324825
strategy,60,2.0,5.0,False,-0.21784704174591807,-0.048516612712298235,0.19880016362076555,-0.1498454251566965,-0.24404714678630407,-0.4494318945776712,0.5285140562248996,175,62,19707.86949477472,52.633001344842725
strategy,60,2.0,10.0,False,-0.23818137970184794,-0.05357626838658691,0.19882556760905098,-0.17660774067420437,-0.26946367628097745,-0.4593205090114233,0.5277108433734939,175,62,38917.832747257955,52.6211989941836
strategy,60,2.0,20.0,False,-0.2772889614952503,-0.06361792066783434,0.19892488778744347,-0.23002092302786958,-0.3198087548291684,-0.4785745386095579,0.5261044176706827,175,62,75896.03335184579,52.59816070537488
strategy,60,2.0,5.0,True,-0.21784704174591807,-0.048516612712298235,0.19880016362076555,-0.1498454251566965,-0.24404714678630407,-0.4494318945776712,0.5285140562248996,175,62,19707.86949477472,52.633001344842725
strategy,60,2.0,10.0,True,-0.23818137970184794,-0.05357626838658691,0.19882556760905098,-0.17660774067420437,-0.26946367628097745,-0.4593205090114233,0.5277108433734939,175,62,38917.832747257955,52.6211989941836
strategy,60,2.0,20.0,True,-0.2772889614952503,-0.06361792066783434,0.19892488778744347,-0.23002092302786958,-0.3198087548291684,-0.4785745386095579,0.5261044176706827,175,62,75896.03335184579,52.59816070537488
strategy,60,3.0,5.0,False,-0.03600789760155376,-0.007395321120917453,0.17063007770590877,0.04252369118270264,-0.04334125155626861,-0.32907605283400665,0.5317269076305221,249,62,19243.935506860587,43.963965581407905
strategy,60,3.0,10.0,False,-0.05696123072902004,-0.011800715983219301,0.1706524351499121,0.016482106326747993,-0.06915058652900435,-0.33790809497663743,0.5309236947791165,249,62,38061.757351447755,43.95271047382623
strategy,60,3.0,20.0,False,-0.09751738401287813,-0.020554235002122057,0.17074228623102988,-0.035532215483199854,-0.12038163161473837,-0.35522882755980834,0.5277108433734939,249,62,74457.33708589982,43.93061861357186
strategy,60,3.0,5.0,True,-0.03600789760155376,-0.007395321120917453,0.17063007770590877,0.04252369118270264,-0.04334125155626861,-0.32907605283400665,0.5317269076305221,249,62,19243.935506860587,43.963965581407905
strategy,60,3.0,10.0,True,-0.05696123072902004,-0.011800715983219301,0.1706524351499121,0.016482106326747993,-0.06915058652900435,-0.33790809497663743,0.5309236947791165,249,62,38061.757351447755,43.95271047382623
strategy,60,3.0,20.0,True,-0.09751738401287813,-0.020554235002122057,0.17074228623102988,-0.035532215483199854,-0.12038163161473837,-0.35522882755980834,0.5277108433734939,249,62,74457.33708589982,43.93061861357186
strategy,120,1.0,5.0,False,0.26107784801076717,0.04807202969743307,0.2600549724539069,0.31232043459055503,0.18485333790705938,-0.43994856065063503,0.5180722891566265,39,62,26912.811273992636,39.128971303894744
strategy,120,1.0,10.0,False,0.23672549121708597,0.04394353193605638,0.25994475613270324,0.2971589495462838,0.1690495034014957,-0.4432988104409239,0.5172690763052209,39,62,53276.6626743142,39.10942636318351
strategy,120,1.0,20.0,False,0.18942329409782976,0.035735403413451605,0.2597694031587864,0.2667968977653041,0.13756586795407932,-0.4499393174818307,0.5156626506024097,39,62,104400.44601411835,39.070394999547595
strategy,120,1.0,5.0,True,0.26107784801076717,0.04807202969743307,0.2600549724539069,0.31232043459055503,0.18485333790705938,-0.43994856065063503,0.5180722891566265,39,62,26912.811273992636,39.128971303894744
strategy,120,1.0,10.0,True,0.23672549121708597,0.04394353193605638,0.25994475613270324,0.2971589495462838,0.1690495034014957,-0.4432988104409239,0.5172690763052209,39,62,53276.6626743142,39.10942636318351
strategy,120,1.0,20.0,True,0.18942329409782976,0.035735403413451605,0.2597694031587864,0.2667968977653041,0.13756586795407932,-0.4499393174818307,0.5156626506024097,39,62,104400.44601411835,39.070394999547595
strategy,120,2.0,5.0,False,0.012346014222573087,0.002486738847568448,0.19786426092864706,0.112492571420667,0.012567903045741066,-0.29819721705141966,0.5172690763052209,173,62,24599.267586846203,50.83384047142006
strategy,120,2.0,10.0,False,-0.01302075575689754,-0.0026493194942783793,0.19784379549668465,0.08652456502341101,-0.013390965774930126,-0.3006897402155372,0.5172690763052209,173,62,48570.804115570434,50.820171755407884
strategy,120,2.0,20.0,False,-0.06186907937685515,-0.01284385111925157,0.1978492933897598,0.03460608619301398,-0.06491734642665313,-0.3056477501444608,0.5140562248995983,173,62,94694.06650557881,50.79287524768296
strategy,120,2.0,5.0,True,0.012346014222573087,0.002486738847568448,0.19786426092864706,0.112492571420667,0.012567903045741066,-0.29819721705141966,0.5172690763052209,173,62,24599.267586846203,50.83384047142006
strategy,120,2.0,10.0,True,-0.01302075575689754,-0.0026493194942783793,0.19784379549668465,0.08652456502341101,-0.013390965774930126,-0.3006897402155372,0.5172690763052209,173,62,48570.804115570434,50.820171755407884
strategy,120,2.0,20.0,True,-0.06186907937685515,-0.01284385111925157,0.1978492933897598,0.03460608619301398,-0.06491734642665313,-0.3056477501444608,0.5140562248995983,173,62,94694.06650557881,50.79287524768296
strategy,120,3.0,5.0,False,0.24725161935126572,0.04573592980774155,0.17178505052585116,0.34714304058616474,0.266239289552492,-0.2600434144058884,0.5397590361445783,230,62,16527.524997069504,31.508052965777118
strategy,120,3.0,10.0,False,0.22780083826640984,0.042414277755480345,0.17175977349935218,0.32864658947802655,0.24693953008525782,-0.2630321640964539,0.5389558232931727,230,62,32787.897918336595,31.502734170265185
strategy,120,3.0,20.0,False,0.18979659703598295,0.03580119201104992,0.17173497122766573,0.2916122612012165,0.2084676857318069,-0.2689740075816498,0.5373493975903615,230,62,64524.04810179785,31.49211131948346
strategy,120,3.0,5.0,True,0.24725161935126572,0.04573592980774155,0.17178505052585116,0.34714304058616474,0.266239289552492,-0.2600434144058884,0.5397590361445783,230,62,16527.524997069504,31.508052965777118
strategy,120,3.0,10.0,True,0.22780083826640984,0.042414277755480345,0.17175977349935218,0.32864658947802655,0.24693953008525782,-0.2630321640964539,0.5389558232931727,230,62,32787.897918336595,31.502734170265185
strategy,120,3.0,20.0,True,0.18979659703598295,0.03580119201104992,0.17173497122766573,0.2916122612012165,0.2084676857318069,-0.2689740075816498,0.5373493975903615,230,62,64524.04810179785,31.49211131948346
strategy,20+60+120,1.0,5.0,False,-0.1479387707414911,-0.031885732291326296,0.258886548908792,0.005442232950841424,-0.1231648860310619,-0.4576949880618165,0.4995983935742972,67,62,25149.86390794067,67.13030283917251
strategy,20+60+120,1.0,10.0,False,-0.1760097106813454,-0.038427971826426766,0.2587901585069874,-0.02085010092932762,-0.14849085470686166,-0.4721413286087587,0.4971887550200803,67,62,49472.61663596182,67.09677121937273
strategy,20+60+120,1.0,20.0,False,-0.2294072000593601,-0.051379996409319895,0.25867392072533396,-0.07339306225874317,-0.1986284363929999,-0.4998898100426111,0.4947791164658635,67,62,95746.85247597663,67.02980837384442
strategy,20+60+120,1.0,5.0,True,-0.1479387707414911,-0.031885732291326296,0.258886548908792,0.005442232950841424,-0.1231648860310619,-0.4576949880618165,0.4995983935742972,67,62,25149.86390794067,67.13030283917251
strategy,20+60+120,1.0,10.0,True,-0.1760097106813454,-0.038427971826426766,0.2587901585069874,-0.02085010092932762,-0.14849085470686166,-0.4721413286087587,0.4971887550200803,67,62,49472.61663596182,67.09677121937273
strategy,20+60+120,1.0,20.0,True,-0.2294072000593601,-0.051379996409319895,0.25867392072533396,-0.07339306225874317,-0.1986284363929999,-0.4998898100426111,0.4947791164658635,67,62,95746.85247597663,67.02980837384442
strategy,20+60+120,2.0,5.0,False,-0.24541177991764596,-0.05540133038151962,0.20412363530326183,-0.176090570339236,-0.2714106590312833,-0.3944201781096506,0.5172690763052209,178,62,22480.864449853478,55.51175672051084
strategy,20+60+120,2.0,10.0,False,-0.2660731490300633,-0.06069458260963789,0.20409725414547486,-0.20366226651749408,-0.29738069168915165,-0.4062231637327156,0.5172690763052209,178,62,44356.98218714485,55.4957167316537
strategy,20+60+120,2.0,20.0,False,-0.30572103525604555,-0.0711941209746999,0.20410026484266158,-0.2587085545526737,-0.34881934636186085,-0.42914823700779325,0.5156626506024097,178,62,86360.54981792346,55.46368477785818
strategy,20+60+120,2.0,5.0,True,-0.24541177991764596,-0.05540133038151962,0.20412363530326183,-0.176090570339236,-0.2714106590312833,-0.3944201781096506,0.5172690763052209,178,62,22480.864449853478,55.51175672051084
strategy,20+60+120,2.0,10.0,True,-0.2660731490300633,-0.06069458260963789,0.20409725414547486,-0.20366226651749408,-0.29738069168915165,-0.4062231637327156,0.5172690763052209,178,62,44356.98218714485,55.4957167316537
strategy,20+60+120,2.0,20.0,True,-0.30572103525604555,-0.0711941209746999,0.20410026484266158,-0.2587085545526737,-0.34881934636186085,-0.42914823700779325,0.5156626506024097,178,62,86360.54981792346,55.46368477785818
strategy,20+60+120,3.0,5.0,False,0.09317174989115351,0.01819487109745399,0.17406583546590088,0.1915214948213238,0.10452867473248836,-0.24715579460190595,0.5421686746987951,238,62,17770.901771700537,36.59601290037408
strategy,20+60+120,3.0,10.0,False,0.07337492351314179,0.01443538319302573,0.1740450795259789,0.17027124087583648,0.08294048434084589,-0.2489742215969244,0.5413654618473895,238,62,35208.16996965093,36.5900740351662
strategy,20+60+120,3.0,20.0,False,0.03483936499214968,0.006955843624384839,0.17403473981449666,0.12775253049403318,0.03996813298194982,-0.25495477038533176,0.5413654618473895,238,62,69106.94631774502,36.57851738897877
strategy,20+60+120,3.0,5.0,True,0.09317174989115351,0.01819487109745399,0.17406583546590088,0.1915214948213238,0.10452867473248836,-0.24715579460190595,0.5421686746987951,238,62,17770.901771700537,36.59601290037408
strategy,20+60+120,3.0,10.0,True,0.07337492351314179,0.01443538319302573,0.1740450795259789,0.17027124087583648,0.08294048434084589,-0.2489742215969244,0.5413654618473895,238,62,35208.16996965093,36.5900740351662
strategy,20+60+120,3.0,20.0,True,0.03483936499214968,0.006955843624384839,0.17403473981449666,0.12775253049403318,0.03996813298194982,-0.25495477038533176,0.5413654618473895,238,62,69106.94631774502,36.57851738897877
benchmark,equal_weight,,5.0,False,0.5158824358703373,0.08784856399803398,0.12438441057105054,0.7394782901381266,0.7062666743743852,-0.17012577351515779,0.5477911646586345,7,1,499.75012493753127,0.9995002498750625
benchmark,csi300,,5.0,False,0.020900412989351747,0.004195619578889032,0.1894915077957409,0.11666807527735122,0.022141464953730948,-0.3718083983962872,0.4771084337349398,1,1,499.7501249375313,0.9995002498750626
